fiidex,fi_cycle,fi_bit,opcode,error_type
2542,1440054176,10,load,benign
434,1413047316,43,insertelement,benign
1134,524478599,43,fadd,benign
1142,693935187,41,fadd,SDC
436,572021745,99,insertelement,benign
2337,390554100,63,add,SDC
3837,285932268,25,load,SDC
440,1379895935,61,insertelement,benign
3135,1965207951,19,load,benign
4056,1921233650,31,select,benign
4037,907243461,22,load,SDC
2234,1207038453,50,load,SDC
4987,1818027858,24,load,SDC
620,1097992863,31,fmul,benign
1349,1429186950,19,load,benign
843,2032352089,60,load,benign
658,1583985691,19,load,benign
3289,1975417664,54,load,benign
4595,1459269830,12,fmul,benign
1590,93881069,3,load,benign
1110,1584957684,37,fadd,SDC
933,71513275,26,load,benign
1853,634584030,57,fmul,benign
992,1063279160,10,load,SDC
3498,1141814192,19,load,benign
1138,676243135,19,fneg,benign
1635,895353825,18,load,benign
2135,1182978983,102,shufflevector,SDC
3189,34477077,18,load,benign
3825,1009112037,1,fmul,benign
618,325710491,25,fsub,benign
1682,1120018343,38,load,SDC
728,1928487123,32,load,benign
2786,1775497935,56,load,SDC
474,1649721327,18,shufflevector,benign
3093,1176248935,32,fmul,benign
3202,405476482,16,fsub,benign
1155,556277153,34,fneg,SDC
406,1811814391,54,fmul,benign
1144,1300621376,9,fadd,benign
1734,1158120890,56,load,SDC
1159,1463894878,28,fmul,benign
581,504732104,27,extractelement,benign
965,304952132,57,phi,SDC
3086,391447259,12,fmul,benign
3026,349086867,27,load,benign
2166,231637888,82,insertelement,benign
3351,1169557017,18,insertelement,benign
471,760613451,77,shufflevector,benign
5171,861911132,24,load,SDC
4611,31999450,0,icmp,benign
2162,1926797595,37,insertelement,benign
3014,1437352396,62,fmul,SDC
674,453042730,42,fadd,benign
423,1780609401,49,load,benign
3484,458504516,18,load,benign
467,2001381199,28,shufflevector,benign
637,393002215,27,fneg,benign
3303,1520770828,42,fsub,benign
4090,1962505609,1,load,benign
1120,524236595,43,fadd,SDC
444,1490650961,67,fsub,benign
985,106473298,41,fadd,benign
2194,1682164775,121,insertelement,benign
3912,20935692,25,fadd,benign
3774,303734757,4,fmul,benign
622,396316306,33,fsub,benign
985,477566348,13,fadd,benign
1235,432541277,17,load,benign
1158,1332139150,58,load,SDC
1558,369292477,7,load,benign
3929,1476159451,53,fadd,benign
503,1792776739,38,insertelement,benign
2857,334569427,17,load,benign
847,1030728041,26,fneg,benign
2067,327410179,31,load,benign
659,22236865,1,fadd,benign
2138,1933626456,100,insertelement,benign
2195,588695524,95,shufflevector,benign
3472,582377768,30,add,SDC
5072,293637323,1,fcmp,benign
4284,10806085,0,or,benign
1151,1650351092,63,fneg,SDC
2872,1747981637,27,select,benign
5168,1966262925,34,phi,benign
1287,715186505,11,load,benign
2085,1658106156,57,load,SDC
4267,1549189195,32,phi,SDC
2371,1485261462,40,load,SDC
429,682326016,62,load,SDC
1301,163772589,13,load,benign
5077,2004084883,0,icmp,SDC
630,1432219162,63,fsub,SDC
2518,895524813,39,fadd,benign
4229,1814668860,3,fmul,benign
3028,154894327,12,load,benign
1171,1608966179,0,load,benign
4685,1473183168,51,sext,SDC
2240,610105382,40,load,benign
4090,1673320167,46,load,benign
1422,772054305,5,fmul,benign
1165,1815772689,36,fmul,benign
3758,1917712696,57,fsub,benign
3089,582128239,4,fmul,benign
3872,1914058732,14,fadd,benign
1120,1599005538,10,fadd,benign
3847,229366166,40,fmul,benign
3855,73908969,43,load,SDC
631,1774353522,43,fsub,benign
638,361674593,26,fmul,benign
1125,2053441693,25,fadd,benign
1520,451094519,18,load,benign
3613,741635162,37,load,benign
767,1041604754,48,load,SDC
4739,1257639180,7,load,SDC
430,689539076,39,load,benign
2453,1933791406,41,fadd,benign
4996,1316805340,37,phi,SDC
3359,927392335,28,insertelement,benign
1238,139329382,59,load,benign
2977,1346970367,23,insertelement,benign
843,453551020,38,load,benign
599,1971944629,47,fneg,benign
1636,132631936,19,fmul,benign
1158,936715119,16,load,benign
1431,1637126614,39,load,SDC
785,1143272718,48,load,benign
1353,883947232,31,load,benign
3469,1541606660,46,load,SDC
444,199014001,104,fsub,benign
4501,1086503391,25,phi,benign
967,858898600,27,load,SDC
5150,875951780,24,select,benign
1866,616859045,7,load,benign
1115,1643586217,33,fmul,benign
2917,1654946175,46,add,SDC
1094,75845447,34,load,benign
996,1508845888,25,load,SDC
5143,81566140,50,load,SDC
3289,691597776,7,load,benign
3691,1662894183,5,load,benign
604,2026992548,26,fneg,benign
1734,404834056,3,load,benign
829,982075797,40,load,SDC
2872,1875356488,28,select,SDC
407,1587706167,48,fsub,benign
2939,1060702297,107,shufflevector,SDC
496,518415609,21,shufflevector,benign
1185,1342605977,1,load,benign
1151,542016270,43,fneg,benign
1129,1136957773,41,fadd,benign
621,1618908407,57,fadd,SDC
640,1473268951,47,fmul,SDC
1112,29734429,47,fadd,benign
2181,881025768,19,shufflevector,benign
3076,878068345,17,fsub,benign
517,747927868,83,fsub,benign
1352,234485659,15,load,benign
3461,490685841,12,load,benign
3458,561382162,15,load,SDC
1483,65355977,43,load,benign
1342,1056138539,34,load,benign
1829,1713440239,53,load,benign
5175,63908841,0,fcmp,benign
861,1030772943,83,fneg,benign
1592,404604109,27,load,benign
3880,685209674,35,fadd,benign
1452,641675673,54,load,benign
4165,822799277,55,extractelement,benign
3775,1445073167,9,fadd,benign
3437,2065133896,57,fdiv,SDC
1142,1283392548,59,fadd,SDC
667,873061769,27,load,benign
5077,1628723329,0,icmp,SDC
945,134828893,10,load,SDC
1133,1457082958,27,fneg,benign
1209,383346312,57,load,benign
3860,1152515033,39,fmul,benign
1243,1321685132,46,load,SDC
1235,1136608879,45,load,SDC
